Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;488.0;4.05833;989.0;8.23333
Standing on heels;7.0;989.0;8.23333;1417.0;11.8
Jogging;9.0;1417.0;11.8;2142.0;17.84167
Sitting on the stool;20.0;2142.0;17.84167;2809.0;23.4
Balancing on the left leg ;3.0;2809.0;23.4;3204.0;26.69167
Jumping on the left leg;16.0;3204.0;26.69167;3729.0;31.06667
Leaning backward;27.0;3729.0;31.06667;4159.0;34.65
Side-stepping;13.0;4159.0;34.65;4967.0;41.38333
Climbing the stairs;21.0;4967.0;41.38333;5395.0;44.95
Standing on tiptoes;6.0;5395.0;44.95;5996.0;49.95833
Jumping to the side;17.0;5996.0;49.95833;6400.0;53.325
Putting right hand on the ground;31.0;6400.0;53.325;7001.0;58.33333
Walking backwards;10.0;7001.0;58.33333;7619.0;63.48333
Lifting the bag with two hands;23.0;7619.0;63.48333;8390.0;69.90833
Balancing on the right leg ;4.0;8390.0;69.90833;8762.0;73.00833
Jumping backward;19.0;8762.0;73.00833;9074.0;75.60833
Looking backward;29.0;9074.0;75.60833;9700.0;80.825
Hopping around on one leg;12.0;9700.0;80.825;10474.0;87.275
Pulling the bag;24.0;10474.0;87.275;10994.0;91.60833
Standing upright without moving;2.0;10994.0;91.60833;11464.0;95.525
Jumping in place;14.0;11464.0;95.525;11822.0;98.50833
Leaning forward;26.0;11822.0;98.50833;12514.0;104.275
Walking;8.0;12514.0;104.275;13188.0;109.89167
Lifting the bag with one hand;22.0;13188.0;109.89167;13821.0;115.16667
Doing squats;5.0;13821.0;115.16667;14330.0;119.40833
Jumping on the right leg;15.0;14330.0;119.40833;14749.0;122.9
Putting left hand on the ground;30.0;14749.0;122.9;15267.0;127.21667
Walking on tiptoes;11.0;15267.0;127.21667;16137.0;134.46667
Pushing the bag;25.0;16137.0;134.46667;16613.0;138.43333
Jumping forward;18.0;16613.0;138.43333;16912.0;140.925
Leaning to the side;28.0;16912.0;140.925;17501.0;145.83333
Standing in T-pose;1.0;17501.0;145.83333;17730.0;147.74322
