Time;left pressure 1[N/cm²];left pressure 2[N/cm²];left pressure 3[N/cm²];left pressure 4[N/cm²];left pressure 5[N/cm²];left pressure 6[N/cm²];left pressure 7[N/cm²];left pressure 8[N/cm²];left pressure 9[N/cm²];left pressure 10[N/cm²];left pressure 11[N/cm²];left pressure 12[N/cm²];left pressure 13[N/cm²];left pressure 14[N/cm²];left pressure 15[N/cm²];left pressure 16[N/cm²];left acceleration X[g];left acceleration Y[g];left acceleration Z[g];left angular X[dps];left angular Y[dps];left angular Z[dps];left total force[N];left center of pressure X[-0.5...+0.5];left center of pressure Y[-0.5...+0.5];right pressure 1[N/cm²];right pressure 2[N/cm²];right pressure 3[N/cm²];right pressure 4[N/cm²];right pressure 5[N/cm²];right pressure 6[N/cm²];right pressure 7[N/cm²];right pressure 8[N/cm²];right pressure 9[N/cm²];right pressure 10[N/cm²];right pressure 11[N/cm²];right pressure 12[N/cm²];right pressure 13[N/cm²];right pressure 14[N/cm²];right pressure 15[N/cm²];right pressure 16[N/cm²];right acceleration X[g];right acceleration Y[g];right acceleration Z[g];right angular X[dps];right angular Y[dps];right angular Z[dps];right total force[N];right center of pressure X[-0.5...+0.5];right center of pressure Y[-0.5...+0.5]
0.0;5.0;4.25;4.0;4.0;0.75;1.0;0.0;0.5;0.75;1.25;2.25;2.25;1.0;2.0;0.75;1.0;-0.216309;0.027832;0.973145;-1.96;1.54;-0.35;315.0;-0.110541;-0.068983;5.5;5.25;5.25;4.25;2.0;1.5;0.0;1.25;0.25;1.5;2.25;2.75;1.5;4.25;0.25;1.0;-0.240234;0.023926;0.986328;-0.07;-1.68;0.28;397.0;-0.104446;-0.072016
0.01;5.0;4.25;4.0;4.0;0.75;1.0;0.0;0.5;0.5;1.5;2.25;2.25;1.25;2.0;0.5;0.75;-0.210449;0.026855;0.972168;-1.89;1.61;-0.28;313.0;-0.115924;-0.073015;5.5;5.25;5.25;4.25;2.0;1.5;0.0;1.25;0.25;1.5;2.25;2.75;1.5;4.25;0.25;1.0;-0.240234;0.023926;0.986328;-0.07;-1.68;0.28;397.0;-0.104446;-0.072016
0.02;4.5;4.25;4.25;4.0;0.5;0.75;0.0;0.5;0.5;1.5;2.25;2.5;1.25;2.0;0.5;0.75;-0.20752;0.028809;0.981934;-1.68;1.68;-0.28;308.0;-0.109262;-0.075942;5.5;5.25;5.25;4.25;2.0;1.5;0.0;1.25;0.25;1.5;2.25;2.75;1.5;4.25;0.25;1.0;-0.240234;0.023926;0.986328;-0.07;-1.68;0.28;397.0;-0.104446;-0.072016
0.03;4.25;4.25;4.0;4.0;0.5;0.75;0.0;0.5;0.5;1.75;2.25;2.5;1.0;1.5;0.75;0.75;-0.208008;0.02832;0.977051;-1.89;1.68;-0.28;301.0;-0.107138;-0.078719;5.5;5.25;5.25;4.25;2.0;1.5;0.0;1.25;0.25;1.5;2.25;2.75;1.5;4.25;0.25;1.0;-0.240234;0.023926;0.986328;-0.07;-1.68;0.28;397.0;-0.104446;-0.072016
0.04;4.25;4.0;4.25;4.0;0.75;0.75;0.0;0.5;0.5;1.25;2.25;2.25;1.5;2.0;0.5;0.75;-0.21582;0.024902;0.979004;-1.96;1.61;-0.21;302.0;-0.108331;-0.07764;5.5;5.25;5.25;4.25;2.0;1.5;0.0;1.25;0.25;1.5;2.25;2.75;1.5;4.25;0.25;1.0;-0.240234;0.023926;0.986328;-0.07;-1.68;0.28;397.0;-0.104446;-0.072016
0.05;4.5;4.0;4.0;4.0;0.75;0.75;0.0;0.5;0.5;1.0;2.25;2.0;1.5;2.25;0.5;1.0;-0.212402;0.027344;0.975098;-1.82;1.54;-0.21;300.0;-0.109398;-0.076154;5.5;5.25;5.25;4.25;2.0;1.5;0.0;1.25;0.25;1.5;2.25;2.75;1.5;4.25;0.25;1.0;-0.240234;0.023926;0.986328;-0.07;-1.68;0.28;397.0;-0.104446;-0.072016
0.06;4.5;4.5;4.0;4.0;0.5;0.75;0.0;0.25;0.5;1.25;2.0;2.25;1.5;2.25;0.5;1.0;-0.216309;0.02832;0.976562;-1.96;1.68;-0.28;301.0;-0.11229;-0.075163;5.5;5.25;5.25;4.25;2.0;1.5;0.0;1.25;0.25;1.5;2.25;2.75;1.5;4.25;0.25;1.0;-0.240234;0.023926;0.986328;-0.07;-1.68;0.28;397.0;-0.104446;-0.072016
0.07;4.5;4.25;4.0;4.0;0.5;0.75;0.0;0.25;0.5;1.25;2.5;2.25;1.25;2.25;0.75;0.75;-0.20752;0.029785;0.975098;-1.89;1.68;-0.21;303.0;-0.103761;-0.071405;5.5;5.25;5.25;4.25;2.0;1.5;0.0;1.25;0.25;1.5;2.25;2.75;1.5;4.25;0.25;1.0;-0.240234;0.023926;0.986328;-0.07;-1.68;0.28;397.0;-0.104446;-0.072016
0.08;4.5;4.25;4.0;3.75;0.5;0.5;0.0;0.5;0.5;1.25;2.75;2.0;1.25;2.25;0.5;0.75;-0.209961;0.022461;0.980469;-1.89;1.61;-0.21;299.0;-0.104838;-0.070558;5.5;5.0;5.25;4.25;2.0;1.5;0.0;1.25;0.25;1.5;2.25;2.75;1.5;4.25;0.25;1.0;-0.241211;0.021484;0.987305;-0.07;-1.68;0.28;394.0;-0.102623;-0.071466
0.09;4.5;4.0;4.0;4.0;0.5;0.75;0.0;0.5;0.5;1.5;2.5;2.0;1.25;2.25;0.5;0.75;-0.209961;0.02832;0.978027;-1.89;1.75;-0.21;302.0;-0.104439;-0.071503;5.5;5.0;4.75;4.25;2.0;1.25;0.0;1.0;0.25;1.5;2.25;2.75;1.5;4.5;0.25;1.25;-0.240234;0.023926;0.984863;-0.0;-1.68;0.21;386.0;-0.09633;-0.068689
