🚀 Chargement des données pour le monstre à 10 Couches (S01 à S32)...
🧩 Classes uniques: 31

🪟 Fenêtrage Spatio Temporel...
Dimensions : X = (188863, 50, 50)
💻 Moteur de calcul activé : mps

🔥 Démarrage: Entraînement DeepResNet-10L (50 Epochs Strictes)
[E01/50] Train Loss: 2.1893 | Train Acc: 40.82% | Val Loss: 1.9655 | Val Acc: 46.61% ⭐
[E02/50] Train Loss: 1.9050 | Train Acc: 48.47% | Val Loss: 1.8378 | Val Acc: 49.87% ⭐
[E03/50] Train Loss: 1.7847 | Train Acc: 51.48% | Val Loss: 1.7283 | Val Acc: 52.72% ⭐
[E04/50] Train Loss: 1.6893 | Train Acc: 53.92% | Val Loss: 1.6808 | Val Acc: 53.98% ⭐
[E05/50] Train Loss: 1.6039 | Train Acc: 56.17% | Val Loss: 1.5918 | Val Acc: 56.38% ⭐
[E06/50] Train Loss: 1.5251 | Train Acc: 58.22% | Val Loss: 1.5579 | Val Acc: 57.09% ⭐
[E07/50] Train Loss: 1.4585 | Train Acc: 59.85% | Val Loss: 1.4961 | Val Acc: 59.18% ⭐
[E08/50] Train Loss: 1.3844 | Train Acc: 61.78% | Val Loss: 1.4612 | Val Acc: 60.48% ⭐
[E09/50] Train Loss: 1.3184 | Train Acc: 63.54% | Val Loss: 1.3919 | Val Acc: 61.54% ⭐
[E10/50] Train Loss: 1.2578 | Train Acc: 64.88% | Val Loss: 1.3649 | Val Acc: 62.59% ⭐
[E11/50] Train Loss: 1.1970 | Train Acc: 66.55% | Val Loss: 1.3277 | Val Acc: 63.97% ⭐
[E12/50] Train Loss: 1.1419 | Train Acc: 68.01% | Val Loss: 1.3046 | Val Acc: 64.53% ⭐
[E13/50] Train Loss: 1.0847 | Train Acc: 69.43% | Val Loss: 1.2551 | Val Acc: 65.73% ⭐
[E14/50] Train Loss: 1.0387 | Train Acc: 70.68% | Val Loss: 1.2383 | Val Acc: 66.17% ⭐
[E15/50] Train Loss: 0.9937 | Train Acc: 71.83% | Val Loss: 1.2219 | Val Acc: 66.67% ⭐
[E16/50] Train Loss: 0.9500 | Train Acc: 72.96% | Val Loss: 1.1963 | Val Acc: 67.48% ⭐
[E17/50] Train Loss: 0.9158 | Train Acc: 73.77% | Val Loss: 1.1956 | Val Acc: 67.54% ⭐
