🚀 CHARGEMENT DU MODÈLE ULTIME (S01 à S32)...
🧩 Classes uniques: 31

🪟 Fenêtrage Spatio Temporel...
Dimensions : X = (188863, 50, 50)
💻 Moteur de calcul activé : mps

🔥 Démarrage: Entraînement Modèle Ultime (70 Epochs Cosinus)
[E01/70] Train Loss: 2.2547 | Train Acc: 39.18% | Val Loss: 1.9908 | Val Acc: 46.26% ⭐🌟
[E02/70] Train Loss: 1.9538 | Train Acc: 47.30% | Val Loss: 1.8765 | Val Acc: 49.35% ⭐🌟
[E03/70] Train Loss: 1.8543 | Train Acc: 49.91% | Val Loss: 1.8090 | Val Acc: 50.50% ⭐🌟
[E04/70] Train Loss: 1.7851 | Train Acc: 51.75% | Val Loss: 1.7604 | Val Acc: 52.09% ⭐🌟
[E05/70] Train Loss: 1.7304 | Train Acc: 53.06% | Val Loss: 1.6919 | Val Acc: 53.81% ⭐🌟
[E06/70] Train Loss: 1.6806 | Train Acc: 54.36% | Val Loss: 1.6511 | Val Acc: 54.98% ⭐🌟
[E07/70] Train Loss: 1.6344 | Train Acc: 55.68% | Val Loss: 1.6353 | Val Acc: 55.43% ⭐🌟
[E08/70] Train Loss: 1.5908 | Train Acc: 56.63% | Val Loss: 1.5688 | Val Acc: 57.35% ⭐🌟
[E09/70] Train Loss: 1.5473 | Train Acc: 57.86% | Val Loss: 1.5642 | Val Acc: 57.73% ⭐🌟
[E10/70] Train Loss: 1.5038 | Train Acc: 58.99% | Val Loss: 1.5364 | Val Acc: 58.07% ⭐🌟
[E11/70] Train Loss: 1.4651 | Train Acc: 60.01% | Val Loss: 1.4893 | Val Acc: 59.48% ⭐🌟
[E12/70] Train Loss: 1.4292 | Train Acc: 61.05% | Val Loss: 1.4740 | Val Acc: 59.83% ⭐🌟
[E13/70] Train Loss: 1.3858 | Train Acc: 62.03% | Val Loss: 1.4342 | Val Acc: 60.84% ⭐🌟
[E14/70] Train Loss: 1.3446 | Train Acc: 63.20% | Val Loss: 1.4014 | Val Acc: 62.11% ⭐🌟
[E15/70] Train Loss: 1.3054 | Train Acc: 64.19% | Val Loss: 1.3950 | Val Acc: 62.27% ⭐🌟
[E16/70] Train Loss: 1.2678 | Train Acc: 65.30% | Val Loss: 1.3663 | Val Acc: 63.07% ⭐🌟
[E17/70] Train Loss: 1.2221 | Train Acc: 66.53% | Val Loss: 1.3398 | Val Acc: 63.88% ⭐🌟
[E18/70] Train Loss: 1.1847 | Train Acc: 67.40% | Val Loss: 1.3175 | Val Acc: 64.23% ⭐🌟
[E19/70] Train Loss: 1.1477 | Train Acc: 68.36% | Val Loss: 1.2953 | Val Acc: 65.25% ⭐🌟
